canton,canton_norm,area_km2,n_sismos,mag_max,prof_media_km,energia_total_j,primer_sismo,ultimo_sismo,n_sismos_someros,energia_somera_j,mag_max_somera,provincia,poblacion_2022,densidad_hab_km2
Cayambe,CAYAMBE,1200.6097215504244,2.0,6.0,9.25,63221626989198.84,1987-03-06 08:14:48.080000+00:00,1990-09-24 08:49:37.490000+00:00,2.0,63221626989198.84,6.0,Pichincha,105267.0,87.6779507199575
Celica,CELICA,525.0840894768243,0.0,,,0.0,,,0.0,0.0,,Loja,14379.0,27.38418529178201
Centinela del Condor,CENTINELA DEL CONDOR,263.37463290933664,0.0,,,0.0,,,0.0,0.0,,Zamora Chinchipe,7882.0,29.926952011028632
Cevallos,CEVALLOS,19.01187222946341,0.0,,,0.0,,,0.0,0.0,,Tungurahua,10433.0,548.762366697983
Chaguarpamba,CHAGUARPAMBA,315.54866334496256,1.0,4.0,70.64,63095734448.019424,2022-02-03 07:02:28.747000+00:00,2022-02-03 07:02:28.747000+00:00,0.0,0.0,,Loja,6857.0,21.730404202358557
Chambo,CHAMBO,165.32484847128782,0.0,,,0.0,,,0.0,0.0,,Chimborazo,13431.0,81.2400563145387
Chilla,CHILLA,333.65911806018505,0.0,,,0.0,,,0.0,0.0,,El Oro,2251.0,6.746406371529062
Chillanes,CHILLANES,666.5904452796208,2.0,4.5,76.8,480705930412.99316,1996-08-08 02:15:36.750000+00:00,2014-03-25 10:08:34.150000+00:00,1.0,125892541179.41713,4.2,Bolívar,19802.0,29.70639639410594
Chimbo,CHIMBO,263.1033485102332,0.0,,,0.0,,,0.0,0.0,,Bolívar,15524.0,59.00342997495604
Chinchipe,CHINCHIPE,1157.4882893434,60.0,5.4,57.99596666666666,49484194774402.18,1983-04-04 02:01:10.420000+00:00,2026-04-29 06:12:14.369000+00:00,40.0,43176402316577.52,5.4,Zamora Chinchipe,10337.0,8.93054391579529
Chone,CHONE,3077.223351231657,4.0,4.5,58.2695,1049940515431.4847,2007-04-14 11:09:36.550000+00:00,2026-04-23 14:39:36.636000+00:00,2.0,340313736964.33264,4.4,Manabí,128166.0,41.64988542307195
Chordeleg,CHORDELEG,105.85584806667244,1.0,4.0,108.37,63095734448.019424,2017-12-17 06:25:19.100000+00:00,2017-12-17 06:25:19.100000+00:00,0.0,0.0,,Azuay,12197.0,115.22273188268086
Chunchi,CHUNCHI,274.9077530734398,1.0,5.8,94.4,31622776601683.793,1991-06-12 00:45:40.080000+00:00,1991-06-12 00:45:40.080000+00:00,0.0,0.0,,Chimborazo,10635.0,38.68570413566667
