canton,canton_norm,area_km2,n_sismos,mag_max,prof_media_km,energia_total_j,primer_sismo,ultimo_sismo,n_sismos_someros,energia_somera_j,mag_max_somera,provincia,poblacion_2022,densidad_hab_km2
Palora,PALORA,1463.2561123039102,38.0,5.7,140.8271052631579,39430247581896.555,1984-04-28 20:12:06.330000+00:00,2026-02-10 08:20:44.899000+00:00,5.0,23145434246329.4,5.7,Morona Santiago,11882.0,8.120246278207361
Paltas,PALTAS,1163.4494368626945,2.0,4.5,41.45,532641330237.4683,1985-04-13 02:32:56.750000+00:00,2007-07-13 07:20:25.550000+00:00,2.0,532641330237.4683,4.5,Loja,22841.0,19.63213808551235
Pangua,PANGUA,726.5147751690891,2.0,4.6,65.6,564282968075.2909,1987-09-23 06:40:09.640000+00:00,2010-02-19 11:37:27.210000+00:00,1.0,63095734448.019424,4.0,Cotopaxi,21867.0,30.098493172297385
Paquisha,PAQUISHA,341.5707442028401,0.0,,,0.0,,,0.0,0.0,,Zamora Chinchipe,4737.0,13.868283746183355
Pasaje,PASAJE,459.2964572869862,1.0,4.0,94.1,63095734448.019424,2016-03-22 04:52:50.680000+00:00,2016-03-22 04:52:50.680000+00:00,0.0,0.0,,El Oro,83597.0,182.01098369841193
Pastaza,PASTAZA,19970.164482485277,248.0,7.5,152.99522177419357,1.1730429766195282e+16,1983-04-27 21:06:00.880000+00:00,2026-08-02 17:09:44.170000+00:00,22.0,57183458371407.83,5.9,Pastaza,82754.0,4.143881742815836
Patate,PATATE,317.40192971346397,1.0,4.9,33.0,1412537544622.7554,1989-12-17 07:32:29.610000+00:00,1989-12-17 07:32:29.610000+00:00,1.0,1412537544622.7554,4.9,Tungurahua,13879.0,43.72689231136474
Paute,PAUTE,271.0624207415605,2.0,5.2,61.97,4689017489919.126,1995-11-05 09:24:22.820000+00:00,2016-05-24 16:35:21.450000+00:00,1.0,3981071705534.9854,5.2,Azuay,26782.0,98.80381030587344
Pedernales,PEDERNALES,1917.0313391546154,31.0,4.9,25.471451612903227,14247012990270.363,1983-06-12 04:15:27.170000+00:00,2024-02-25 07:27:03.237000+00:00,30.0,14121120449090.947,4.9,Manabí,70408.0,36.72762075504147
Pedro Carbo,PEDRO CARBO,942.1523323248654,6.0,5.1,53.699999999999996,6383476270459.699,1984-06-13 05:47:07.090000+00:00,2024-10-05 23:54:06.547000+00:00,5.0,4388213955490.817,5.1,Guayas,52177.0,55.3806409110589
Pedro Moncayo,PEDRO MONCAYO,340.08143567516913,1.0,5.1,11.88,2818382931264.449,2014-08-12 19:58:00.130000+00:00,2014-08-12 19:58:00.130000+00:00,1.0,2818382931264.449,5.1,Pichincha,40483.0,119.03913519898094
Pedro Vicente Maldonado,PEDRO VICENTE MALDONADO,626.8030503098229,2.0,4.8,38.315,1501187233627.2715,2007-11-04 18:10:22.180000+00:00,2014-02-21 12:42:08.690000+00:00,2.0,1501187233627.2715,4.8,Pichincha,15475.0,24.688775832138745
Penipe,PENIPE,368.63768946762656,0.0,,,0.0,,,0.0,0.0,,Chimborazo,6748.0,18.305236259876796
Pichincha,PICHINCHA,1082.8832886530759,2.0,4.5,85.30000000000001,480705930412.99316,2008-04-15 10:35:50.320000+00:00,2009-03-10 21:58:28+00:00,0.0,0.0,,Manabí,30380.0,28.054731584035796
Pimampiro,PIMAMPIRO,445.55392302396115,0.0,,,0.0,,,0.0,0.0,,Imbabura,13366.0,29.99861365664869
Piñas,PINAS,621.1316397720356,2.0,5.1,93.7865,3173196320498.0254,1991-01-06 01:47:43.450000+00:00,2024-05-21 02:43:10.935000+00:00,0.0,0.0,,El Oro,29406.0,47.34262130132742
Pindal,PINDAL,203.78826032052487,1.0,4.4,68.62,251188643150.95822,2017-12-07 02:37:45.350000+00:00,2017-12-07 02:37:45.350000+00:00,1.0,251188643150.95822,4.4,Loja,10409.0,51.07752519025572
Playas,PLAYAS,270.58260546923094,6.0,5.0,40.766999999999996,3812078359447.841,1997-08-30 06:49:27.470000+00:00,2026-07-09 23:42:59.846000+00:00,6.0,3812078359447.841,5.0,Guayas,58768.0,217.1906057970262
Portovelo,PORTOVELO,287.5285420055575,0.0,,,0.0,,,0.0,0.0,,El Oro,13556.0,47.146623794092704
Portoviejo,PORTOVIEJO,969.3225040683983,12.0,4.9,33.69891666666667,5280136597307.406,1991-08-04 04:53:13.890000+00:00,2022-12-19 12:26:23.993000+00:00,12.0,5280136597307.406,4.9,Manabí,322925.0,333.1450561032404
Pucara,PUCARA,589.0927834264011,0.0,,,0.0,,,0.0,0.0,,Azuay,9693.0,16.454114313914364
Puebloviejo,PUEBLOVIEJO,337.5384869360574,0.0,,,0.0,,,0.0,0.0,,Los Ríos,40961.0,121.35208749620179
Puerto Lopez,PUERTO LOPEZ,434.2435526909061,38.0,6.0,25.255684210526315,107432141659348.6,1984-02-21 03:20:45.040000+00:00,2025-09-19 01:49:50.251000+00:00,38.0,107432141659348.6,6.0,Manabí,25630.0,59.02217739601858
Puerto Quito,PUERTO QUITO,699.4722407955729,2.0,4.7,104.2,1062759173617.7163,1985-10-24 08:25:05.230000+00:00,2003-08-16 05:00:02.470000+00:00,0.0,0.0,,Pichincha,25067.0,35.83701902378433
Pujili,PUJILI,1308.2469767826358,5.0,6.0,44.019999999999996,65280994505557.36,1990-11-06 15:39:08.430000+00:00,2025-01-09 23:09:44.363000+00:00,4.0,64926181116323.78,6.0,Cotopaxi,66980.0,51.19828380167446
Putumayo,PUTUMAYO,3550.227569151647,1.0,4.3,33.0,177827941003.89227,1984-09-17 07:36:34.810000+00:00,1984-09-17 07:36:34.810000+00:00,1.0,177827941003.89227,4.3,Sucumbíos,9018.0,2.5401188583961445
Puyango,PUYANGO,641.3963985103461,5.0,4.9,62.338,2358505754071.186,1998-07-03 16:41:47.580000+00:00,2021-12-31 17:54:19.796000+00:00,3.0,444780975821.15894,4.3,Loja,16257.0,25.346260187548847
Quero,QUERO,174.74216916753988,0.0,,,0.0,,,0.0,0.0,,Tungurahua,19084.0,109.21233318159499
Quevedo,QUEVEDO,306.97387784931243,0.0,,,0.0,,,0.0,0.0,,Los Ríos,206008.0,671.0929328687874
Quijos,QUIJOS,1595.8946822181333,5.0,4.9,26.46,3769725401110.8745,1984-04-22 18:57:37.820000+00:00,2005-10-24 17:35:33.830000+00:00,5.0,3769725401110.8745,4.9,Napo,6472.0,4.055405455079636
Quilanga,QUILANGA,237.75252084471774,1.0,4.5,93.3,354813389233.57605,2006-02-18 21:07:27.760000+00:00,2006-02-18 21:07:27.760000+00:00,0.0,0.0,,Loja,3971.0,16.70224141427111
Quininde,QUININDE,3900.465306441551,14.0,6.9,34.352357142857144,1637520237765300.0,1994-03-24 11:59:07.630000+00:00,2025-07-20 21:06:32.639000+00:00,13.0,1637431112671486.8,6.9,Esmeraldas,126841.0,32.51945345867435
Quinsaloma,QUINSALOMA,284.6921954423558,0.0,,,0.0,,,0.0,0.0,,Los Ríos,19470.0,68.38965139085545
Quito,QUITO,4239.1839110823785,19.0,5.3,17.21557894736842,17546721611208.357,1986-11-23 16:30:05.330000+00:00,2024-07-01 05:27:51.380000+00:00,19.0,17546721611208.357,5.3,Pichincha,2679722.0,632.1315744274455
Riobamba,RIOBAMBA,986.5546800799865,2.0,4.4,88.65,429016584154.85046,1991-01-13 09:19:36.520000+00:00,2006-09-04 03:21:48.590000+00:00,1.0,251188643150.95822,4.4,Chimborazo,260882.0,264.4374460611231
Rioverde,RIOVERDE,1517.2326875923927,17.0,5.3,32.78588235294118,14238664406873.521,1983-03-20 23:45:39.930000+00:00,2023-07-24 01:47:57.121000+00:00,17.0,14238664406873.521,5.3,Esmeraldas,32885.0,21.674328709713784
Rocafuerte,ROCAFUERTE,281.43483585238766,4.0,5.1,19.2,7137953096156.17,1989-04-29 22:01:45.720000+00:00,2016-08-26 04:25:27.970000+00:00,4.0,7137953096156.17,5.1,Manabí,42688.0,151.67987243196083
Rumiñahui,RUMINAHUI,136.51022761895086,0.0,,,0.0,,,0.0,0.0,,Pichincha,107904.0,790.4462682547045
Salcedo,SALCEDO,489.221368835106,4.0,5.5,18.925,12398434730646.402,1992-12-26 16:08:56.590000+00:00,2006-04-15 01:08:48.180000+00:00,4.0,12398434730646.402,5.5,Cotopaxi,67493.0,137.96004079034574
Salinas,SALINAS,71.07781766908721,13.0,5.2,18.76976923076923,11866200072323.76,1987-09-07 20:59:06+00:00,2024-01-08 13:06:56.285000+00:00,13.0,11866200072323.76,5.2,Santa Elena,86801.0,1221.2108200073653
Salitre,SALITRE,396.28951592146353,1.0,4.1,164.92,89125093813.3744,2015-12-13 21:45:50.930000+00:00,2015-12-13 21:45:50.930000+00:00,0.0,0.0,,Guayas,61060.0,154.07927171129313
Samborondon,SAMBORONDON,361.56043367543265,5.0,4.4,79.1764,806520015108.0824,1991-08-27 08:31:37.520000+00:00,2022-12-27 05:25:11.191000+00:00,1.0,89125093813.3744,4.1,Guayas,98540.0,272.54088340998584
San Cristobal,SAN CRISTOBAL,831.0281884937034,0.0,,,0.0,,,0.0,0.0,,Galápagos,8300.0,9.987627513627823
San Fernando,SAN FERNANDO,143.1251622615404,0.0,,,0.0,,,0.0,0.0,,Azuay,3738.0,26.11700095870878
San Jacinto de Yaguachi,SAN JACINTO DE YAGUACHI,513.2329984377526,6.0,5.7,81.42783333333334,23496187143577.797,1996-01-11 01:55:29.720000+00:00,2022-10-19 13:34:24.220000+00:00,1.0,354813389233.57605,4.5,Guayas,72699.0,141.64911496589457
San Juan Bosco,SAN JUAN BOSCO,1056.2048969866498,43.0,5.4,81.42788372093023,48004642128399.67,1983-03-21 01:02:51.620000+00:00,2025-05-02 15:06:53.791000+00:00,15.0,7886329102402.552,5.0,Morona Santiago,4372.0,4.139348352268869
San Lorenzo,SAN LORENZO,3035.8479617974776,71.0,6.2,25.975605633802818,253574083254665.1,1984-07-30 02:47:20.800000+00:00,2025-08-25 18:10:57.293000+00:00,69.0,253197002070334.72,6.2,Esmeraldas,48391.0,15.939862802400834
San Miguel,SAN MIGUEL,576.9252588308146,1.0,4.0,10.0,63095734448.019424,2025-12-13 09:40:52.633000+00:00,2025-12-13 09:40:52.633000+00:00,1.0,63095734448.019424,4.0,Bolívar,28349.0,49.13808082775146
San Miguel de Los Bancos,SAN MIGUEL DE LOS BANCOS,856.1611020527217,1.0,4.8,24.6,1000000000000.0,1996-01-17 19:46:01.280000+00:00,1996-01-17 19:46:01.280000+00:00,1.0,1000000000000.0,4.8,Pichincha,13661.0,15.956109156613806
San Miguel de Urcuqui,SAN MIGUEL DE URCUQUI,771.0330707263682,0.0,,,0.0,,,0.0,0.0,,Imbabura,17969.0,23.305096346998344
San Pedro de Huaca,SAN PEDRO DE HUACA,71.03387408883437,0.0,,,0.0,,,0.0,0.0,,Carchi,7937.0,111.73542344141408
San Pedro de Pelileo,SAN PEDRO DE PELILEO,203.0659428195659,1.0,4.3,33.0,177827941003.89227,1996-03-29 13:57:24.480000+00:00,1996-03-29 13:57:24.480000+00:00,1.0,177827941003.89227,4.3,Tungurahua,63897.0,314.6613317466811
San Vicente,SAN VICENTE,713.97139449523,57.0,7.2,18.715877192982457,4344147445407161.0,1985-04-21 17:39:49.500000+00:00,2025-10-07 01:27:59.527000+00:00,57.0,4344147445407161.0,7.2,Manabí,24997.0,35.01120660117287
Santa Ana,SANTA ANA,1033.8137008744784,5.0,5.2,52.58,4780666070589.721,2009-09-16 07:41:00.740000+00:00,2016-06-20 23:24:36.560000+00:00,5.0,4780666070589.721,5.2,Manabí,51462.0,49.77879472526774
Santa Clara,SANTA CLARA,314.4818260138132,3.0,4.4,162.03833333333333,554909125334.2676,1995-08-12 05:04:14.240000+00:00,2025-11-17 23:13:51.062000+00:00,0.0,0.0,,Pastaza,4521.0,14.376029474598068
Santa Cruz,SANTA CRUZ,1820.6390333233815,0.0,,,0.0,,,0.0,0.0,,Galápagos,17233.0,9.46535786862869
Santa Elena,SANTA ELENA,3628.641107746716,34.0,6.3,33.81226470588235,359388716569389.06,1985-12-07 00:06:54.620000+00:00,2026-04-04 12:23:29.388000+00:00,33.0,359033903180155.5,6.3,Santa Elena,186687.0,51.44818527284099
Santa Isabel,SANTA ISABEL,608.4126741065712,4.0,4.9,77.965,2872859205785.125,1995-10-03 04:15:12.960000+00:00,2014-12-31 17:54:57.570000+00:00,1.0,707945784384.1403,4.7,Azuay,20753.0,34.11007180360751
Santa Lucia,SANTA LUCIA,360.0429684747887,1.0,4.5,33.0,354813389233.57605,2001-02-23 15:36:22.290000+00:00,2001-02-23 15:36:22.290000+00:00,1.0,354813389233.57605,4.5,Guayas,43700.0,121.37440201963007
Santa Rosa,SANTA ROSA,815.9731280284086,47.0,6.3,41.16614893617021,249479627827500.88,1984-11-20 14:26:27.030000+00:00,2026-05-05 15:58:26.295000+00:00,44.0,232458202091573.84,6.3,El Oro,80299.0,98.40887799089916
Santiago,SANTIAGO,1425.1525699778413,4.0,5.0,60.3525,3350918196976.6675,1986-04-18 02:03:53+00:00,2019-07-24 02:41:29.031000+00:00,2.0,2173090255972.7751,5.0,Morona Santiago,9755.0,6.844881176582851
Santiago de Pillaro,SANTIAGO DE PILLARO,448.8536740061723,6.0,5.3,18.099999999999998,9537771924181.242,1985-06-25 05:08:10.670000+00:00,2004-04-15 19:06:31.110000+00:00,6.0,9537771924181.242,5.3,Tungurahua,42497.0,94.6789621230005
Santo Domingo,SANTO DOMINGO,3467.8783713413286,6.0,4.7,41.31666666666667,1540371839951.3428,1991-04-22 11:03:10.050000+00:00,2008-03-20 06:07:29+00:00,5.0,1289183196800.3845,4.7,Santo Domingo de los Tsáchilas,441583.0,127.33520403981228
Saquisili,SAQUISILI,206.79524880700623,0.0,,,0.0,,,0.0,0.0,,Cotopaxi,24356.0,117.77833456285296
Saraguro,SARAGURO,1088.9803090329533,3.0,5.6,90.7,17616282858467.44,1983-09-14 08:35:17.240000+00:00,2008-12-12 20:26:03.180000+00:00,0.0,0.0,,Loja,29111.0,26.732347461683148
Sevilla de Oro,SEVILLA DE ORO,316.60240451006484,1.0,4.9,94.27,1412537544622.7554,2019-02-03 03:03:10.600000+00:00,2019-02-03 03:03:10.600000+00:00,0.0,0.0,,Azuay,4613.0,14.570325222698528
Shushufindi,SHUSHUFINDI,2535.196214080377,0.0,,,0.0,,,0.0,0.0,,Sucumbíos,50826.0,20.04815237483965
Sigchos,SIGCHOS,1360.6149418470907,2.0,4.7,61.7,797070878197.5146,1987-03-09 09:25:28.750000+00:00,2006-03-08 21:54:16.030000+00:00,1.0,707945784384.1403,4.7,Cotopaxi,18460.0,13.567394736191705
Sigsig,SIGSIG,680.3770598680183,1.0,5.1,72.0,2818382931264.449,2007-06-11 00:19:38.990000+00:00,2007-06-11 00:19:38.990000+00:00,0.0,0.0,,Azuay,24992.0,36.73257297188713
Simon Bolivar,SIMON BOLIVAR,293.8881549901202,3.0,5.6,107.43333333333332,16226013108941.484,1995-03-26 15:12:31.760000+00:00,2009-01-28 11:53:54.040000+00:00,0.0,0.0,,Guayas,29427.0,100.12992868320693
Sozoranga,SOZORANGA,414.7509553428554,0.0,,,0.0,,,0.0,0.0,,Loja,6970.0,16.805265690679903
Sucre,SUCRE,682.1420289037652,13.0,5.8,32.13923076923077,35613713142373.375,1985-06-24 22:05:50.970000+00:00,2024-10-30 13:12:10.865000+00:00,13.0,35613713142373.375,5.8,Manabí,62841.0,92.12304379043832
Sucua,SUCUA,897.6782139874315,3.0,4.3,60.14366666666666,356078128630.6411,2001-03-21 11:05:02.270000+00:00,2024-11-24 00:56:04.636000+00:00,2.0,178250187626.7488,4.1,Morona Santiago,23504.0,26.18310173263165
Sucumbios,SUCUMBIOS,1524.8964831926226,5.0,5.2,32.699799999999996,6749265132165.525,2014-03-09 02:10:58.150000+00:00,2024-05-06 15:32:31.412000+00:00,4.0,2768193426630.54,4.9,Sucumbíos,3174.0,2.0814527641605594
Suscal,SUSCAL,50.34287131779031,0.0,,,0.0,,,0.0,0.0,,Cañar,4627.0,91.90973575567385
Taisha,TAISHA,6181.28982855093,113.0,6.7,79.60182300884955,840382625545628.8,1983-11-25 22:56:25.880000+00:00,2026-05-23 08:44:52.458000+00:00,51.0,29937621761087.793,5.2,Morona Santiago,26700.0,4.319486828893645
Tena,TENA,3938.8802593240034,27.0,6.4,31.726259259259262,391969054379977.25,1987-01-21 16:35:12.620000+00:00,2025-06-19 01:06:23.890000+00:00,24.0,391288849152671.44,6.4,Napo,80816.0,20.5175061640157
Tisaleo,TISALEO,59.409859709233146,0.0,,,0.0,,,0.0,0.0,,Tungurahua,13910.0,234.1362202853037
Tiwintza,TIWINTZA,1176.9470387203414,47.0,6.8,43.76697872340426,1034577416771898.4,1986-07-13 19:02:41.630000+00:00,2024-05-14 16:39:55.019000+00:00,38.0,30033839714839.87,5.4,Morona Santiago,9285.0,7.889055067503545
Tosagua,TOSAGUA,378.48573231569196,5.0,5.0,39.437400000000004,3103294073754.897,1999-05-25 02:15:58.570000+00:00,2022-08-30 00:23:41.639000+00:00,5.0,3103294073754.897,5.0,Manabí,42853.0,113.22223360392526
Tulcan,TULCAN,1834.0892235839058,29.0,6.9,48.67537931034483,1432353911068395.5,1985-04-10 20:15:36.610000+00:00,2023-12-11 07:36:33.539000+00:00,21.0,12500306814022.213,5.2,Carchi,92375.0,50.36559771039625
Urdaneta,URDANETA,381.15018097343926,0.0,,,0.0,,,0.0,0.0,,Los Ríos,33151.0,86.97621477007813
Valencia,VALENCIA,984.3208104513807,0.0,,,0.0,,,0.0,0.0,,Los Ríos,51509.0,52.329483897002525
Ventanas,VENTANAS,534.3918136003648,0.0,,,0.0,,,0.0,0.0,,Los Ríos,73211.0,136.99873040111635
Vinces,VINCES,700.4065191939651,1.0,4.4,33.0,251188643150.95822,1985-01-11 09:43:04.170000+00:00,1985-01-11 09:43:04.170000+00:00,1.0,251188643150.95822,4.4,Los Ríos,80909.0,115.51720005849018
Yacuambi,YACUAMBI,1263.1004442783517,2.0,5.1,94.15,3526328715648.5894,1983-10-11 10:05:36.660000+00:00,1998-05-29 03:51:28.170000+00:00,0.0,0.0,,Zamora Chinchipe,6391.0,5.059771793249092
Yantzaza,YANTZAZA,1021.7727588229858,6.0,5.7,97.35849999999999,35339290502267.07,1983-04-15 13:25:36.080000+00:00,2026-01-08 05:17:50.354000+00:00,1.0,354813389233.57605,4.5,Zamora Chinchipe,23370.0,22.872013173379848
Zamora,ZAMORA,1911.4722306847427,2.0,5.2,98.36,4482258939162.257,1983-11-08 06:52:46.330000+00:00,2021-02-18 10:51:30.548000+00:00,0.0,0.0,,Zamora Chinchipe,30186.0,15.792015973565325
Zapotillo,ZAPOTILLO,1221.6264251805194,218.0,6.3,44.78266513761468,654783383452535.1,1983-02-13 14:01:36.340000+00:00,2026-04-14 22:21:25.595000+00:00,194.0,645046157518085.5,6.3,Loja,14571.0,11.92754159508857
Zaruma,ZARUMA,656.4443241925258,2.0,5.4,70.55,8121110288246.747,1984-09-06 19:10:00.330000+00:00,2008-10-10 02:20:55.950000+00:00,1.0,177827941003.89227,4.3,El Oro,24374.0,37.13033855534023
