,,,,,,
,,,,,,
,Tabla N°:,1.1 ,,,,
,Nombre de la tabla:,"Población por sexo al nacer, según provincia, cantón y área de residencia",,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,
,,,,,,
,,,,,,
Índice,"Provincia, cantón y área de residencia",,,Número total de personas ,Sexo al nacer,
,,,,,Hombres,Mujeres
,,,,,,
,Cañar,El Tambo,Rural,"4,083","1,854","2,229"
,Cañar,Déleg,Total Déleg,"6,046","2,700","3,346"
,Cañar,Déleg,Urbana,645,271,374
,Cañar,Déleg,Rural,"5,401","2,429","2,972"
,Cañar,Suscal,Total Suscal,"4,627","2,038","2,589"
,Cañar,Suscal,Urbana,"1,012",480,532
,Cañar,Suscal,Rural,"3,615","1,558","2,057"
,Carchi,Total Carchi,Total Carchi,"172,828","84,553","88,275"
,Carchi,Total Carchi,Urbana,"87,957","42,521","45,436"
,Carchi,Total Carchi,Rural,"84,871","42,032","42,839"
,Carchi,Tulcán,Total Tulcán,"92,375","44,900","47,475"
,Carchi,Tulcán,Urbana,"56,719","27,281","29,438"
,Carchi,Tulcán,Rural,"35,656","17,619","18,037"
,Carchi,Bolívar,Total Bolívar,"15,677","7,823","7,854"
,Carchi,Bolívar,Urbana,"3,377","1,671","1,706"
,Carchi,Bolívar,Rural,"12,300","6,152","6,148"
,Carchi,Espejo,Total Espejo,"14,522","7,138","7,384"
,Carchi,Espejo,Urbana,"5,181","2,534","2,647"
,Carchi,Espejo,Rural,"9,341","4,604","4,737"
,Carchi,Mira,Total Mira,"12,727","6,328","6,399"
,Carchi,Mira,Urbana,"3,691","1,752","1,939"
,Carchi,Mira,Rural,"9,036","4,576","4,460"
,Carchi,Montúfar,Total Montúfar,"29,590","14,427","15,163"
,Carchi,Montúfar,Urbana,"14,497","7,036","7,461"
,Carchi,Montúfar,Rural,"15,093","7,391","7,702"
,Carchi,San Pedro de Huaca,Total San Pedro de Huaca,"7,937","3,937","4,000"
,Carchi,San Pedro de Huaca,Urbana,"4,492","2,247","2,245"
,Carchi,San Pedro de Huaca,Rural,"3,445","1,690","1,755"
,Cotopaxi,Total Cotopaxi,Total Cotopaxi,"470,210","227,616","242,594"
,Cotopaxi,Total Cotopaxi,Urbana,"156,481","74,948","81,533"
,Cotopaxi,Total Cotopaxi,Rural,"313,729","152,668","161,061"
,Cotopaxi,Latacunga,Total Latacunga,"217,261","106,010","111,251"
,Cotopaxi,Latacunga,Urbana,"77,267","36,927","40,340"
,Cotopaxi,Latacunga,Rural,"139,994","69,083","70,911"
,Cotopaxi,La Maná,Total La Maná,"53,793","26,389","27,404"
,Cotopaxi,La Maná,Urbana,"31,740","15,438","16,302"
,Cotopaxi,La Maná,Rural,"22,053","10,951","11,102"
,Cotopaxi,Pangua,Total Pangua,"21,867","10,926","10,941"
,Cotopaxi,Pangua,Urbana,"1,872",873,999
,Cotopaxi,Pangua,Rural,"19,995","10,053","9,942"
,Cotopaxi,Pujilí,Total Pujilí,"66,980","31,579","35,401"
,Cotopaxi,Pujilí,Urbana,"16,152","7,643","8,509"
,Cotopaxi,Pujilí,Rural,"50,828","23,936","26,892"
,Cotopaxi,Salcedo,Total Salcedo,"67,493","32,200","35,293"
,Cotopaxi,Salcedo,Urbana,"16,751","7,959","8,792"
,Cotopaxi,Salcedo,Rural,"50,742","24,241","26,501"
,Cotopaxi,Saquisilí,Total Saquisilí,"24,356","11,498","12,858"
,Cotopaxi,Saquisilí,Urbana,"9,883","4,773","5,110"
,Cotopaxi,Saquisilí,Rural,"14,473","6,725","7,748"
,Cotopaxi,Sigchos,Total Sigchos,"18,460","9,014","9,446"
,Cotopaxi,Sigchos,Urbana,"2,816","1,335","1,481"
,Cotopaxi,Sigchos,Rural,"15,644","7,679","7,965"
,Chimborazo,Total Chimborazo,Total Chimborazo,"471,933","223,460","248,473"
,Chimborazo,Total Chimborazo,Urbana,"224,667","106,106","118,561"
