,,,,,,
,,,,,,
,Tabla N°:,1.1 ,,,,
,Nombre de la tabla:,"Población por sexo al nacer, según provincia, cantón y área de residencia",,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,
,,,,,,
,,,,,,
Índice,"Provincia, cantón y área de residencia",,,Número total de personas ,Sexo al nacer,
,,,,,Hombres,Mujeres
,,,,,,
,Loja,Sozoranga,Rural,"6,062","3,057","3,005"
,Loja,Zapotillo,Total Zapotillo,"14,571","7,462","7,109"
,Loja,Zapotillo,Urbana,"3,599","1,743","1,856"
,Loja,Zapotillo,Rural,"10,972","5,719","5,253"
,Loja,Pindal,Total Pindal,"10,409","5,362","5,047"
,Loja,Pindal,Urbana,"2,660","1,328","1,332"
,Loja,Pindal,Rural,"7,749","4,034","3,715"
,Loja,Quilanga,Total Quilanga,"3,971","1,958","2,013"
,Loja,Quilanga,Urbana,934,437,497
,Loja,Quilanga,Rural,"3,037","1,521","1,516"
,Loja,Olmedo,Total Olmedo,"4,164","2,082","2,082"
,Loja,Olmedo,Urbana,745,373,372
,Loja,Olmedo,Rural,"3,419","1,709","1,710"
,Los Ríos,Total Los Ríos,Total Los Ríos,"898,652","443,391","455,261"
,Los Ríos,Total Los Ríos,Urbana,"485,223","233,897","251,326"
,Los Ríos,Total Los Ríos,Rural,"413,429","209,494","203,935"
,Los Ríos,Babahoyo,Total Babahoyo,"178,509","87,115","91,394"
,Los Ríos,Babahoyo,Urbana,"98,251","46,999","51,252"
,Los Ríos,Babahoyo,Rural,"80,258","40,116","40,142"
,Los Ríos,Baba,Total Baba,"45,296","22,938","22,358"
,Los Ríos,Baba,Urbana,"6,746","3,243","3,503"
,Los Ríos,Baba,Rural,"38,550","19,695","18,855"
,Los Ríos,Montalvo,Total Montalvo,"28,354","13,987","14,367"
,Los Ríos,Montalvo,Urbana,"16,248","7,827","8,421"
,Los Ríos,Montalvo,Rural,"12,106","6,160","5,946"
,Los Ríos,Puebloviejo,Total Puebloviejo,"40,961","20,054","20,907"
,Los Ríos,Puebloviejo,Urbana,"9,646","4,655","4,991"
,Los Ríos,Puebloviejo,Rural,"31,315","15,399","15,916"
,Los Ríos,Quevedo,Total Quevedo,"206,008","99,970","106,038"
,Los Ríos,Quevedo,Urbana,"177,792","85,951","91,841"
,Los Ríos,Quevedo,Rural,"28,216","14,019","14,197"
,Los Ríos,Urdaneta,Total Urdaneta,"33,151","16,524","16,627"
,Los Ríos,Urdaneta,Urbana,"7,216","3,480","3,736"
,Los Ríos,Urdaneta,Rural,"25,935","13,044","12,891"
,Los Ríos,Ventanas,Total Ventanas,"73,211","35,848","37,363"
,Los Ríos,Ventanas,Urbana,"41,531","19,964","21,567"
,Los Ríos,Ventanas,Rural,"31,680","15,884","15,796"
,Los Ríos,Vinces,Total Vinces,"80,909","40,487","40,422"
,Los Ríos,Vinces,Urbana,"35,064","16,704","18,360"
,Los Ríos,Vinces,Rural,"45,845","23,783","22,062"
,Los Ríos,Palenque,Total Palenque,"24,838","12,718","12,120"
,Los Ríos,Palenque,Urbana,"7,258","3,534","3,724"
,Los Ríos,Palenque,Rural,"17,580","9,184","8,396"
,Los Ríos,Buena Fe,Total Buena Fe,"74,410","36,756","37,654"
,Los Ríos,Buena Fe,Urbana,"46,779","22,616","24,163"
,Los Ríos,Buena Fe,Rural,"27,631","14,140","13,491"
,Los Ríos,Valencia,Total Valencia,"51,509","25,948","25,561"
,Los Ríos,Valencia,Urbana,"22,996","11,237","11,759"
,Los Ríos,Valencia,Rural,"28,513","14,711","13,802"
,Los Ríos,Mocache,Total Mocache,"42,026","21,161","20,865"
,Los Ríos,Mocache,Urbana,"9,535","4,619","4,916"
,Los Ríos,Mocache,Rural,"32,491","16,542","15,949"
,Los Ríos,Quinsaloma,Total Quinsaloma,"19,470","9,885","9,585"
,Los Ríos,Quinsaloma,Urbana,"6,161","3,068","3,093"
,Los Ríos,Quinsaloma,Rural,"13,309","6,817","6,492"
,Manabí,Total Manabí,Total Manabí,"1,592,840","787,046","805,794"
,Manabí,Total Manabí,Urbana,"924,325","446,082","478,243"
,Manabí,Total Manabí,Rural,"668,515","340,964","327,551"
,Manabí,Portoviejo,Total Portoviejo,"322,925","157,943","164,982"
,Manabí,Portoviejo,Urbana,"244,129","117,312","126,817"
,Manabí,Portoviejo,Rural,"78,796","40,631","38,165"
,Manabí,Bolívar,Total Bolívar,"41,827","20,556","21,271"
,Manabí,Bolívar,Urbana,"20,011","9,542","10,469"
,Manabí,Bolívar,Rural,"21,816","11,014","10,802"
,Manabí,Chone,Total Chone,"128,166","62,552","65,614"
,Manabí,Chone,Urbana,"54,629","25,540","29,089"
,Manabí,Chone,Rural,"73,537","37,012","36,525"
,Manabí,El Carmen,Total El Carmen,"120,936","59,947","60,989"
,Manabí,El Carmen,Urbana,"52,366","25,060","27,306"
,Manabí,El Carmen,Rural,"68,570","34,887","33,683"
,Manabí,Flavio Alfaro,Total Flavio Alfaro,"26,415","13,024","13,391"
,Manabí,Flavio Alfaro,Urbana,"8,312","3,908","4,404"
,Manabí,Flavio Alfaro,Rural,"18,103","9,116","8,987"
,Manabí,Jipijapa,Total Jipijapa,"78,117","39,164","38,953"
,Manabí,Jipijapa,Urbana,"45,382","21,982","23,400"
,Manabí,Jipijapa,Rural,"32,735","17,182","15,553"
,Manabí,Junín,Total Junín,"22,324","11,264","11,060"
,Manabí,Junín,Urbana,"7,332","3,567","3,765"
,Manabí,Junín,Rural,"14,992","7,697","7,295"
,Manabí,Manta,Total Manta,"271,145","131,534","139,611"
,Manabí,Manta,Urbana,"258,697","125,295","133,402"
,Manabí,Manta,Rural,"12,448","6,239","6,209"
,Manabí,Montecristi,Total Montecristi,"99,937","48,871","51,066"
,Manabí,Montecristi,Urbana,"71,066","34,273","36,793"
,Manabí,Montecristi,Rural,"28,871","14,598","14,273"
,Manabí,Paján,Total Paján,"41,879","21,618","20,261"
,Manabí,Paján,Urbana,"7,686","3,744","3,942"
,Manabí,Paján,Rural,"34,193","17,874","16,319"
,Manabí,Pichincha,Total Pichincha,"30,380","15,454","14,926"
,Manabí,Pichincha,Urbana,"4,406","2,136","2,270"
,Manabí,Pichincha,Rural,"25,974","13,318","12,656"
,Manabí,Rocafuerte,Total Rocafuerte,"42,688","21,347","21,341"
,Manabí,Rocafuerte,Urbana,"11,848","5,783","6,065"
,Manabí,Rocafuerte,Rural,"30,840","15,564","15,276"
,Manabí,Santa Ana,Total Santa Ana,"51,462","25,953","25,509"
,Manabí,Santa Ana,Urbana,"11,918","5,798","6,120"
,Manabí,Santa Ana,Rural,"39,544","20,155","19,389"
,Manabí,Sucre,Total Sucre,"62,841","31,412","31,429"
,Manabí,Sucre,Urbana,"22,209","10,989","11,220"
,Manabí,Sucre,Rural,"40,632","20,423","20,209"
,Manabí,Tosagua,Total Tosagua,"42,853","21,382","21,471"
,Manabí,Tosagua,Urbana,"11,317","5,447","5,870"
,Manabí,Tosagua,Rural,"31,536","15,935","15,601"
,Manabí,24 de Mayo,Total 24 de Mayo,"31,473","16,035","15,438"
,Manabí,24 de Mayo,Urbana,"6,607","3,233","3,374"
,Manabí,24 de Mayo,Rural,"24,866","12,802","12,064"
,Manabí,Pedernales,Total Pedernales,"70,408","35,284","35,124"
,Manabí,Pedernales,Urbana,"27,068","13,059","14,009"
,Manabí,Pedernales,Rural,"43,340","22,225","21,115"
,Manabí,Olmedo,Total Olmedo,"10,090","5,128","4,962"
,Manabí,Olmedo,Urbana,"2,684","1,294","1,390"
,Manabí,Olmedo,Rural,"7,406","3,834","3,572"
,Manabí,Puerto López,Total Puerto López,"25,630","12,988","12,642"
,Manabí,Puerto López,Urbana,"12,598","6,387","6,211"
,Manabí,Puerto López,Rural,"13,032","6,601","6,431"
,Manabí,Jama,Total Jama,"16,588","8,380","8,208"
,Manabí,Jama,Urbana,"5,259","2,603","2,656"
,Manabí,Jama,Rural,"11,329","5,777","5,552"
,Manabí,Jaramijó,Total Jaramijó,"29,759","14,872","14,887"
,Manabí,Jaramijó,Urbana,"28,397","14,160","14,237"
,Manabí,Jaramijó,Rural,"1,362",712,650
,Manabí,San Vicente,Total San Vicente,"24,997","12,338","12,659"
,Manabí,San Vicente,Urbana,"10,404","4,970","5,434"
,Manabí,San Vicente,Rural,"14,593","7,368","7,225"
,Morona Santiago,Total Morona Santiago,Total Morona Santiago,"192,508","94,845","97,663"
,Morona Santiago,Total Morona Santiago,Urbana,"62,836","30,185","32,651"
,Morona Santiago,Total Morona Santiago,Rural,"129,672","64,660","65,012"
,Morona Santiago,Morona,Total Morona,"54,935","26,816","28,119"
,Morona Santiago,Morona,Urbana,"22,398","10,881","11,517"
,Morona Santiago,Morona,Rural,"32,537","15,935","16,602"
,Morona Santiago,Gualaquiza,Total Gualaquiza,"21,892","10,777","11,115"
,Morona Santiago,Gualaquiza,Urbana,"9,157","4,375","4,782"
,Morona Santiago,Gualaquiza,Rural,"12,735","6,402","6,333"
,Morona Santiago,Limón Indanza,Total Limón Indanza,"9,602","4,652","4,950"
,Morona Santiago,Limón Indanza,Urbana,"3,982","1,886","2,096"
,Morona Santiago,Limón Indanza,Rural,"5,620","2,766","2,854"
,Morona Santiago,Palora,Total Palora,"11,882","5,925","5,957"
,Morona Santiago,Palora,Urbana,"5,748","2,784","2,964"
,Morona Santiago,Palora,Rural,"6,134","3,141","2,993"
,Morona Santiago,Santiago,Total Santiago,"9,755","4,830","4,925"
,Morona Santiago,Santiago,Urbana,"2,349","1,131","1,218"
,Morona Santiago,Santiago,Rural,"7,406","3,699","3,707"
,Morona Santiago,Sucúa,Total Sucúa,"23,504","11,326","12,178"
,Morona Santiago,Sucúa,Urbana,"10,846","5,082","5,764"
,Morona Santiago,Sucúa,Rural,"12,658","6,244","6,414"
,Morona Santiago,Huamboya,Total Huamboya,"10,830","5,344","5,486"
,Morona Santiago,Huamboya,Urbana,"1,312",611,701
,Morona Santiago,Huamboya,Rural,"9,518","4,733","4,785"
,Morona Santiago,San Juan Bosco,Total San Juan Bosco,"4,372","2,190","2,182"
,Morona Santiago,San Juan Bosco,Urbana,"1,613",777,836
,Morona Santiago,San Juan Bosco,Rural,"2,759","1,413","1,346"
,Morona Santiago,Taisha,Total Taisha,"26,700","13,325","13,375"
,Morona Santiago,Taisha,Urbana,"1,864",893,971
,Morona Santiago,Taisha,Rural,"24,836","12,432","12,404"
,Morona Santiago,Logroño,Total Logroño,"7,484","3,776","3,708"
,Morona Santiago,Logroño,Urbana,"1,382",672,710
,Morona Santiago,Logroño,Rural,"6,102","3,104","2,998"
,Morona Santiago,Pablo Sexto,Total Pablo Sexto,"2,267","1,146","1,121"
,Morona Santiago,Pablo Sexto,Urbana,"1,031",518,513
,Morona Santiago,Pablo Sexto,Rural,"1,236",628,608
,Morona Santiago,Tiwintza,Total Tiwintza,"9,285","4,738","4,547"
,Morona Santiago,Tiwintza,Urbana,"1,154",575,579
,Morona Santiago,Tiwintza,Rural,"8,131","4,163","3,968"
,Napo,Total Napo,Total Napo,"131,675","65,517","66,158"
,Napo,Total Napo,Urbana,"44,675","21,443","23,232"
,Napo,Total Napo,Rural,"87,000","44,074","42,926"
,Napo,Tena,Total Tena,"80,816","40,128","40,688"
,Napo,Tena,Urbana,"29,724","14,253","15,471"
,Napo,Tena,Rural,"51,092","25,875","25,217"
,Napo,Archidona,Total Archidona,"30,488","15,270","15,218"
,Napo,Archidona,Urbana,"7,353","3,474","3,879"
,Napo,Archidona,Rural,"23,135","11,796","11,339"
,Napo,El Chaco,Total El Chaco,"9,252","4,629","4,623"
,Napo,El Chaco,Urbana,"4,353","2,161","2,192"
,Napo,El Chaco,Rural,"4,899","2,468","2,431"
,Napo,Quijos,Total Quijos,"6,472","3,158","3,314"
,Napo,Quijos,Urbana,"1,972",935,"1,037"
,Napo,Quijos,Rural,"4,500","2,223","2,277"
,Napo,Carlos Julio Arosemena Tola,Total Carlos Julio Arosemena Tola,"4,647","2,332","2,315"
,Napo,Carlos Julio Arosemena Tola,Urbana,"1,273",620,653
,Napo,Carlos Julio Arosemena Tola,Rural,"3,374","1,712","1,662"
,Pastaza,Total Pastaza,Total Pastaza,"111,915","55,042","56,873"
,Pastaza,Total Pastaza,Urbana,"38,386","18,580","19,806"
,Pastaza,Total Pastaza,Rural,"73,529","36,462","37,067"
,Pastaza,Pastaza,Total Pastaza,"82,754","40,422","42,332"
,Pastaza,Pastaza,Urbana,"33,325","16,042","17,283"
,Pastaza,Pastaza,Rural,"49,429","24,380","25,049"
,Pastaza,Mera,Total Mera,"15,087","7,388","7,699"
,Pastaza,Mera,Urbana,853,425,428
,Pastaza,Mera,Rural,"14,234","6,963","7,271"
,Pastaza,Santa Clara,Total Santa Clara,"4,521","2,330","2,191"
,Pastaza,Santa Clara,Urbana,"1,831",932,899
,Pastaza,Santa Clara,Rural,"2,690","1,398","1,292"
,Pastaza,Arajuno,Total Arajuno,"9,553","4,902","4,651"
,Pastaza,Arajuno,Urbana,"2,377","1,181","1,196"
,Pastaza,Arajuno,Rural,"7,176","3,721","3,455"
,Pichincha,Total Pichincha,Total Pichincha,"3,089,473","1,490,557","1,598,916"
,Pichincha,Total Pichincha,Urbana,"1,958,079","941,175","1,016,904"
,Pichincha,Total Pichincha,Rural,"1,131,394","549,382","582,012"
,Pichincha,Distrito Metropolitano de Quito,Total Distrito Metropolitano de Quito,"2,679,722","1,291,774","1,387,948"
,Pichincha,Distrito Metropolitano de Quito,Urbana,"1,763,275","847,321","915,954"
,Pichincha,Distrito Metropolitano de Quito,Rural,"916,447","444,453","471,994"
,Pichincha,Cayambe,Total Cayambe,"105,267","51,000","54,267"
,Pichincha,Cayambe,Urbana,"44,559","21,637","22,922"
,Pichincha,Cayambe,Rural,"60,708","29,363","31,345"
,Pichincha,Mejía,Total Mejía,"101,894","48,864","53,030"
,Pichincha,Mejía,Urbana,"24,188","11,473","12,715"
,Pichincha,Mejía,Rural,"77,706","37,391","40,315"
,Pichincha,Pedro Moncayo,Total Pedro Moncayo,"40,483","19,839","20,644"
,Pichincha,Pedro Moncayo,Urbana,"13,019","6,409","6,610"
,Pichincha,Pedro Moncayo,Rural,"27,464","13,430","14,034"
,Pichincha,Rumiñahui,Total Rumiñahui,"107,904","51,939","55,965"
,Pichincha,Rumiñahui,Urbana,"96,647","46,490","50,157"
,Pichincha,Rumiñahui,Rural,"11,257","5,449","5,808"
,Pichincha,San Miguel de los Bancos,Total San Miguel de los Bancos,"13,661","6,833","6,828"
,Pichincha,San Miguel de los Bancos,Urbana,"5,396","2,626","2,770"
,Pichincha,San Miguel de los Bancos,Rural,"8,265","4,207","4,058"
,Pichincha,Pedro Vicente Maldonado,Total Pedro Vicente Maldonado,"15,475","7,720","7,755"
,Pichincha,Pedro Vicente Maldonado,Urbana,"7,162","3,432","3,730"
,Pichincha,Pedro Vicente Maldonado,Rural,"8,313","4,288","4,025"
,Pichincha,Puerto Quito,Total Puerto Quito,"25,067","12,588","12,479"
,Pichincha,Puerto Quito,Urbana,"3,833","1,787","2,046"
,Pichincha,Puerto Quito,Rural,"21,234","10,801","10,433"
,Tungurahua,Total Tungurahua,Total Tungurahua,"563,532","271,101","292,431"
,Tungurahua,Total Tungurahua,Urbana,"225,249","108,090","117,159"
,Tungurahua,Total Tungurahua,Rural,"338,283","163,011","175,272"
,Tungurahua,Ambato,Total Ambato,"370,664","178,019","192,645"
,Tungurahua,Ambato,Urbana,"177,316","85,077","92,239"
,Tungurahua,Ambato,Rural,"193,348","92,942","100,406"
,Tungurahua,Baños de Agua Santa,Total Baños de Agua Santa,"21,908","10,686","11,222"
,Tungurahua,Baños de Agua Santa,Urbana,"14,100","6,702","7,398"
,Tungurahua,Baños de Agua Santa,Rural,"7,808","3,984","3,824"
,Tungurahua,Cevallos,Total Cevallos,"10,433","5,032","5,401"
,Tungurahua,Cevallos,Urbana,"3,754","1,800","1,954"
,Tungurahua,Cevallos,Rural,"6,679","3,232","3,447"
,Tungurahua,Mocha,Total Mocha,"7,260","3,553","3,707"
,Tungurahua,Mocha,Urbana,"1,516",714,802
,Tungurahua,Mocha,Rural,"5,744","2,839","2,905"
,Tungurahua,Patate,Total Patate,"13,879","6,783","7,096"
,Tungurahua,Patate,Urbana,"2,514","1,245","1,269"
,Tungurahua,Patate,Rural,"11,365","5,538","5,827"
,Tungurahua,Quero,Total Quero,"19,084","9,335","9,749"
,Tungurahua,Quero,Urbana,"3,269","1,581","1,688"
,Tungurahua,Quero,Rural,"15,815","7,754","8,061"
,Tungurahua,San Pedro de Pelileo,Total San Pedro de Pelileo,"63,897","30,669","33,228"
,Tungurahua,San Pedro de Pelileo,Urbana,"11,403","5,437","5,966"
,Tungurahua,San Pedro de Pelileo,Rural,"52,494","25,232","27,262"
,Tungurahua,Santiago de Píllaro,Total Santiago de Píllaro,"42,497","20,289","22,208"
,Tungurahua,Santiago de Píllaro,Urbana,"9,816","4,776","5,040"
,Tungurahua,Santiago de Píllaro,Rural,"32,681","15,513","17,168"
,Tungurahua,Tisaleo,Total Tisaleo,"13,910","6,735","7,175"
,Tungurahua,Tisaleo,Urbana,"1,561",758,803
,Tungurahua,Tisaleo,Rural,"12,349","5,977","6,372"
,Zamora Chinchipe,Total Zamora Chinchipe,Total Zamora Chinchipe,"110,973","55,421","55,552"
,Zamora Chinchipe,Total Zamora Chinchipe,Urbana,"51,424","25,243","26,181"
,Zamora Chinchipe,Total Zamora Chinchipe,Rural,"59,549","30,178","29,371"
,Zamora Chinchipe,Zamora,Total Zamora,"30,186","15,004","15,182"
,Zamora Chinchipe,Zamora,Urbana,"17,584","8,678","8,906"
,Zamora Chinchipe,Zamora,Rural,"12,602","6,326","6,276"
,Zamora Chinchipe,Chinchipe,Total Chinchipe,"10,337","5,311","5,026"
,Zamora Chinchipe,Chinchipe,Urbana,"4,154","2,088","2,066"
,Zamora Chinchipe,Chinchipe,Rural,"6,183","3,223","2,960"
,Zamora Chinchipe,Nangaritza,Total Nangaritza,"6,429","3,238","3,191"
,Zamora Chinchipe,Nangaritza,Urbana,"2,519","1,224","1,295"
,Zamora Chinchipe,Nangaritza,Rural,"3,910","2,014","1,896"
,Zamora Chinchipe,Yacuambi,Total Yacuambi,"6,391","3,139","3,252"
,Zamora Chinchipe,Yacuambi,Urbana,"1,626",782,844
,Zamora Chinchipe,Yacuambi,Rural,"4,765","2,357","2,408"
,Zamora Chinchipe,Yantzaza,Total Yantzaza,"23,370","11,539","11,831"
,Zamora Chinchipe,Yantzaza,Urbana,"13,335","6,503","6,832"
,Zamora Chinchipe,Yantzaza,Rural,"10,035","5,036","4,999"
,Zamora Chinchipe,El Pangui,Total El Pangui,"12,768","6,300","6,468"
,Zamora Chinchipe,El Pangui,Urbana,"5,340","2,602","2,738"
,Zamora Chinchipe,El Pangui,Rural,"7,428","3,698","3,730"
,Zamora Chinchipe,Centinela del Cóndor,Total Centinela del Cóndor,"7,882","3,970","3,912"
,Zamora Chinchipe,Centinela del Cóndor,Urbana,"2,930","1,456","1,474"
,Zamora Chinchipe,Centinela del Cóndor,Rural,"4,952","2,514","2,438"
,Zamora Chinchipe,Palanda,Total Palanda,"8,873","4,524","4,349"
,Zamora Chinchipe,Palanda,Urbana,"2,353","1,142","1,211"
,Zamora Chinchipe,Palanda,Rural,"6,520","3,382","3,138"
,Zamora Chinchipe,Paquisha,Total Paquisha,"4,737","2,396","2,341"
,Zamora Chinchipe,Paquisha,Urbana,"1,583",768,815
,Zamora Chinchipe,Paquisha,Rural,"3,154","1,628","1,526"
,Galápagos,Total Galápagos,Total Galápagos,"28,583","14,380","14,203"
,Galápagos,Total Galápagos,Urbana,"22,741","11,330","11,411"
,Galápagos,Total Galápagos,Rural,"5,842","3,050","2,792"
,Galápagos,San Cristóbal,Total San Cristóbal,"8,300","4,179","4,121"
,Galápagos,San Cristóbal,Urbana,"7,290","3,644","3,646"
,Galápagos,San Cristóbal,Rural,"1,010",535,475
,Galápagos,Isabela,Total Isabela,"3,050","1,564","1,486"
,Galápagos,Isabela,Urbana,"2,755","1,390","1,365"
,Galápagos,Isabela,Rural,295,174,121
,Galápagos,Santa Cruz,Total Santa Cruz,"17,233","8,637","8,596"
,Galápagos,Santa Cruz,Urbana,"12,696","6,296","6,400"
,Galápagos,Santa Cruz,Rural,"4,537","2,341","2,196"
,Sucumbíos,Total Sucumbíos,Total Sucumbíos,"199,014","100,167","98,847"
,Sucumbíos,Total Sucumbíos,Urbana,"81,034","39,353","41,681"
,Sucumbíos,Total Sucumbíos,Rural,"117,980","60,814","57,166"
,Sucumbíos,Lago Agrio,Total Lago Agrio,"105,044","52,497","52,547"
,Sucumbíos,Lago Agrio,Urbana,"55,627","26,947","28,680"
,Sucumbíos,Lago Agrio,Rural,"49,417","25,550","23,867"
,Sucumbíos,Gonzalo Pizarro,Total Gonzalo Pizarro,"10,356","5,201","5,155"
,Sucumbíos,Gonzalo Pizarro,Urbana,"2,083","1,039","1,044"
,Sucumbíos,Gonzalo Pizarro,Rural,"8,273","4,162","4,111"
,Sucumbíos,Putumayo,Total Putumayo,"9,018","4,613","4,405"
,Sucumbíos,Putumayo,Urbana,"2,012",943,"1,069"
,Sucumbíos,Putumayo,Rural,"7,006","3,670","3,336"
,Sucumbíos,Shushufindi,Total Shushufindi,"50,826","25,687","25,139"
,Sucumbíos,Shushufindi,Urbana,"16,328","7,954","8,374"
,Sucumbíos,Shushufindi,Rural,"34,498","17,733","16,765"
,Sucumbíos,Sucumbíos,Total Sucumbíos,"3,174","1,609","1,565"
,Sucumbíos,Sucumbíos,Urbana,746,364,382
,Sucumbíos,Sucumbíos,Rural,"2,428","1,245","1,183"
,Sucumbíos,Cascales,Total Cascales,"11,744","5,938","5,806"
,Sucumbíos,Cascales,Urbana,"2,510","1,201","1,309"
,Sucumbíos,Cascales,Rural,"9,234","4,737","4,497"
,Sucumbíos,Cuyabeno,Total Cuyabeno,"8,852","4,622","4,230"
,Sucumbíos,Cuyabeno,Urbana,"1,728",905,823
,Sucumbíos,Cuyabeno,Rural,"7,124","3,717","3,407"
,Orellana,Total Orellana,Total Orellana,"182,166","92,241","89,925"
,Orellana,Total Orellana,Urbana,"73,338","36,178","37,160"
,Orellana,Total Orellana,Rural,"108,828","56,063","52,765"
,Orellana,Francisco de Orellana,Total Francisco de Orellana,"95,130","48,163","46,967"
,Orellana,Francisco de Orellana,Urbana,"51,281","25,371","25,910"
,Orellana,Francisco de Orellana,Rural,"43,849","22,792","21,057"
,Orellana,Aguarico,Total Aguarico,"6,872","3,487","3,385"
,Orellana,Aguarico,Urbana,657,321,336
,Orellana,Aguarico,Rural,"6,215","3,166","3,049"
,Orellana,La Joya de los Sachas,Total La Joya de los Sachas,"52,444","26,450","25,994"
,Orellana,La Joya de los Sachas,Urbana,"16,023","7,876","8,147"
,Orellana,La Joya de los Sachas,Rural,"36,421","18,574","17,847"
,Orellana,Loreto,Total Loreto,"27,720","14,141","13,579"
,Orellana,Loreto,Urbana,"5,377","2,610","2,767"
,Orellana,Loreto,Rural,"22,343","11,531","10,812"
,Santo Domingo de los Tsáchilas,Total Santo Domingo de los Tsáchilas,Total Santo Domingo de los Tsáchilas,"492,969","240,169","252,800"
,Santo Domingo de los Tsáchilas,Total Santo Domingo de los Tsáchilas,Urbana,"370,300","177,629","192,671"
,Santo Domingo de los Tsáchilas,Total Santo Domingo de los Tsáchilas,Rural,"122,669","62,540","60,129"
,Santo Domingo de los Tsáchilas,Santo Domingo,Total Santo Domingo,"441,583","215,061","226,522"
,Santo Domingo de los Tsáchilas,Santo Domingo,Urbana,"334,826","160,633","174,193"
,Santo Domingo de los Tsáchilas,Santo Domingo,Rural,"106,757","54,428","52,329"
,Santo Domingo de los Tsáchilas,La Concordia,Total La Concordia,"51,386","25,108","26,278"
,Santo Domingo de los Tsáchilas,La Concordia,Urbana,"35,474","16,996","18,478"
,Santo Domingo de los Tsáchilas,La Concordia,Rural,"15,912","8,112","7,800"
,Santa Elena,Total Santa Elena,Total Santa Elena,"385,735","191,303","194,432"
,Santa Elena,Total Santa Elena,Urbana,"201,785","98,917","102,868"
,Santa Elena,Total Santa Elena,Rural,"183,950","92,386","91,564"
,Santa Elena,Santa Elena,Total Santa Elena,"186,687","93,101","93,586"
,Santa Elena,Santa Elena,Urbana,"54,565","26,493","28,072"
,Santa Elena,Santa Elena,Rural,"132,122","66,608","65,514"
,Santa Elena,La Libertad,Total La Libertad,"112,247","54,865","57,382"
,Santa Elena,La Libertad,Urbana,"112,154","54,814","57,340"
,Santa Elena,La Libertad,Rural,93,51,42
,Santa Elena,Salinas,Total Salinas,"86,801","43,337","43,464"
,Santa Elena,Salinas,Urbana,"35,066","17,610","17,456"
,Santa Elena,Salinas,Rural,"51,735","25,727","26,008"
,,,,,,
,"Nota: En el censo 2022, las viviendas ocupadas con personas ausentes fueron el insumo base para calcular la población no censada. Estas viviendas se incorporan a la categoría de viviendas particulares ocupadas al calcular indicadores y generar tabulados en los que esta condición de ocupación forme parte del cálculo.",,,,,
